disaster.event,user.anon,date,latitude,longitude.anon,user_date_freq,days
41_AuFire1,1,2013/10/20,150.9957891,-22.67115622,1,13
41_AuFire1,2,2013/11/7,150.9848607,-22.84123007,1,31
41_AuFire1,2,2013/11/9,150.9848607,-22.84123007,1,33
41_AuFire1,3,2013/10/12,150.298788,-22.61144897,1,5
41_AuFire1,4,2013/11/8,149.5680956,-22.31566862,1,32
41_AuFire1,5,2013/11/8,151.1747834,-22.80928397,1,32
41_AuFire1,6,2013/10/26,150.3088951,-22.5932167,1,19
41_AuFire1,7,2013/10/18,150.8363928,-22.63449983,2,11
41_AuFire1,8,2013/11/6,151.1933141,-22.76079033,2,30
41_AuFire1,8,2013/11/9,151.1933159,-22.76072616,1,33
41_AuFire1,9,2013/11/8,151.1531327,-22.68402827,1,32
41_AuFire1,10,2013/10/17,150.6427614,-22.65299544,1,10
41_AuFire1,11,2013/10/30,151.1201014,-22.65657765,1,23
41_AuFire1,11,2013/11/6,151.1066991,-22.69089779,7,30
41_AuFire1,11,2013/11/7,151.107519,-22.69185479,7,31
41_AuFire1,11,2013/11/8,151.107546,-22.69186918,1,32
41_AuFire1,12,2013/10/24,150.8376746,-22.61183208,1,17
41_AuFire1,13,2013/11/7,151.1974635,-22.77170192,1,31
41_AuFire1,13,2013/11/8,151.1940582,-22.76555198,1,32
41_AuFire1,14,2013/11/7,151.1426096,-22.78265744,1,31
41_AuFire1,14,2013/11/8,151.1986705,-22.8297583,2,32
41_AuFire1,14,2013/11/9,151.1681224,-22.74444616,3,33
41_AuFire1,15,2013/10/16,150.980805,-22.58153772,1,9
41_AuFire1,15,2013/11/6,151.004958,-22.61238104,2,30
41_AuFire1,16,2013/10/8,150.8395521,-22.61004542,1,1
41_AuFire1,16,2013/10/13,150.839668,-22.61004502,1,6
41_AuFire1,17,2013/10/10,151.2815007,-22.67831068,1,3
41_AuFire1,18,2013/10/23,151.0233821,-22.67679772,1,16
41_AuFire1,19,2013/11/6,151.0417535,-22.69159492,1,30
41_AuFire1,19,2013/11/7,151.0417535,-22.69159492,1,31
41_AuFire1,20,2013/11/8,151.1527183,-22.7004562,1,32
41_AuFire1,21,2013/11/9,150.8675699,-22.86913522,1,33
41_AuFire1,22,2013/10/17,151.2904501,-22.66068109,1,10
41_AuFire1,23,2013/10/22,150.8795547,-22.62486718,4,15
41_AuFire1,24,2013/10/23,150.5951004,-22.56156389,1,16
41_AuFire1,24,2013/10/26,150.5992884,-22.56037449,1,19
41_AuFire1,24,2013/11/7,150.6047122,-22.54768825,2,31
41_AuFire1,24,2013/11/8,150.6131894,-22.5564842,2,32
41_AuFire1,25,2013/10/11,151.2683055,-22.67227015,1,4
41_AuFire1,26,2013/10/8,151.042302,-22.63749672,1,1
41_AuFire1,26,2013/10/11,151.0063291,-22.61046111,2,4
41_AuFire1,26,2013/10/12,151.3556801,-21.71494152,3,5
41_AuFire1,26,2013/10/18,151.0413133,-22.63893142,1,11
41_AuFire1,26,2013/10/22,151.0426375,-22.63741461,1,15
41_AuFire1,26,2013/10/26,151.116717,-22.59527472,1,19
41_AuFire1,26,2013/10/27,151.0425971,-22.63749527,4,20
41_AuFire1,26,2013/10/29,151.0425649,-22.63741648,1,22
41_AuFire1,26,2013/10/31,151.042511,-22.63743172,1,24
41_AuFire1,26,2013/11/7,151.1655289,-22.81662987,2,31
41_AuFire1,27,2013/10/24,150.8783043,-22.60512772,1,17
41_AuFire1,27,2013/10/25,150.9468196,-22.62055604,1,18
41_AuFire1,28,2013/10/19,151.2947006,-21.66295557,1,12
41_AuFire1,29,2013/11/6,151.1645539,-22.77221353,1,30
41_AuFire1,29,2013/11/7,151.1915918,-22.76258949,1,31
41_AuFire1,29,2013/11/9,151.1646748,-22.77221304,1,33
