name,day,count
12_Bohol,1,1091
12_Bohol,2,1112
12_Bohol,3,1053
12_Bohol,4,1116
12_Bohol,5,1171
12_Bohol,6,1345
12_Bohol,7,1254
12_Bohol,8,1144
12_Bohol,9,1114
12_Bohol,10,1042
12_Bohol,11,1133
12_Bohol,12,1188
12_Bohol,13,1287
12_Bohol,14,1307
12_Bohol,15,1083
12_Bohol,16,1345
12_Bohol,17,1249
12_Bohol,18,1282
12_Bohol,19,1237
12_Bohol,20,1242
12_Bohol,21,1332
12_Bohol,22,1261
12_Bohol,23,1183
12_Bohol,24,1139
12_Bohol,25,1111
12_Bohol,26,1171
12_Bohol,27,1217
12_Bohol,28,1205
12_Bohol,29,1236
12_Bohol,30,1140
12_Bohol,31,1168
12_Bohol,32,96
13_Iquique,1,106
13_Iquique,2,160
13_Iquique,3,129
13_Iquique,4,163
13_Iquique,5,155
13_Iquique,6,170
13_Iquique,7,174
13_Iquique,8,211
13_Iquique,9,147
13_Iquique,10,135
13_Iquique,11,151
13_Iquique,12,147
13_Iquique,13,121
13_Iquique,14,119
13_Iquique,15,134
13_Iquique,16,132
13_Iquique,17,188
13_Iquique,18,228
13_Iquique,19,239
13_Iquique,20,256
13_Iquique,21,198
13_Iquique,22,210
13_Iquique,23,159
13_Iquique,24,196
13_Iquique,25,189
13_Iquique,26,187
13_Iquique,27,165
13_Iquique,28,192
13_Iquique,29,204
13_Iquique,30,301
13_Iquique,31,267
13_Iquique,32,52
14_Napa,1,183
14_Napa,2,211
14_Napa,3,215
14_Napa,4,214
14_Napa,5,224
14_Napa,6,202
14_Napa,7,252
14_Napa,8,211
14_Napa,9,200
14_Napa,10,220
14_Napa,11,232
14_Napa,12,219
14_Napa,13,213
14_Napa,14,211
14_Napa,15,215
14_Napa,16,215
14_Napa,17,225
14_Napa,18,222
14_Napa,19,230
14_Napa,20,231
14_Napa,21,222
14_Napa,22,226
14_Napa,23,202
14_Napa,24,208
14_Napa,25,227
14_Napa,26,434
14_Napa,27,295
14_Napa,28,281
14_Napa,29,240
14_Napa,30,239
14_Napa,31,227
14_Napa,32,9
