name,day,count
41_AuFire1,1,391
41_AuFire1,2,430
41_AuFire1,3,432
41_AuFire1,4,427
41_AuFire1,5,445
41_AuFire1,6,458
41_AuFire1,7,360
41_AuFire1,8,350
41_AuFire1,9,361
41_AuFire1,10,452
41_AuFire1,11,402
41_AuFire1,12,424
41_AuFire1,13,406
41_AuFire1,14,417
41_AuFire1,15,415
41_AuFire1,16,437
41_AuFire1,17,380
41_AuFire1,18,386
41_AuFire1,19,459
41_AuFire1,20,484
41_AuFire1,21,439
41_AuFire1,22,397
41_AuFire1,23,411
41_AuFire1,24,414
41_AuFire1,25,32
41_AuFire1,26,896
41_AuFire1,27,951
41_AuFire1,28,1002
41_AuFire1,29,1045
41_AuFire1,30,85
42_AuFire2,1,816
42_AuFire2,2,862
42_AuFire2,3,921
42_AuFire2,4,914
42_AuFire2,5,878
42_AuFire2,6,892
42_AuFire2,7,775
42_AuFire2,8,805
42_AuFire2,9,846
42_AuFire2,10,1044
42_AuFire2,11,888
42_AuFire2,12,942
42_AuFire2,13,874
42_AuFire2,14,876
42_AuFire2,15,887
42_AuFire2,16,952
42_AuFire2,17,938
42_AuFire2,18,967
42_AuFire2,19,1013
42_AuFire2,20,991
42_AuFire2,21,910
42_AuFire2,22,858
42_AuFire2,23,896
42_AuFire2,24,935
42_AuFire2,25,71
42_AuFire2,26,793
42_AuFire2,27,823
42_AuFire2,28,857
42_AuFire2,29,883
42_AuFire2,30,70
