name,day,count
31_Phoenix,1,3826
31_Phoenix,2,3991
31_Phoenix,3,4234
31_Phoenix,4,4227
31_Phoenix,5,4392
31_Phoenix,6,4173
31_Phoenix,7,3973
31_Phoenix,8,3848
31_Phoenix,9,3865
31_Phoenix,10,4007
31_Phoenix,11,3990
31_Phoenix,12,4159
31_Phoenix,13,4125
31_Phoenix,14,3899
31_Phoenix,15,3964
31_Phoenix,16,4907
31_Phoenix,17,4055
31_Phoenix,18,4018
31_Phoenix,19,4200
31_Phoenix,20,4093
31_Phoenix,21,3992
31_Phoenix,22,4017
31_Phoenix,23,4078
31_Phoenix,24,4540
31_Phoenix,25,4153
31_Phoenix,26,3318
31_Phoenix,27,3230
31_Phoenix,28,3075
31_Phoenix,29,3223
31_Phoenix,30,2863
31_Phoenix,31,2902
31_Phoenix,32,273
32_Detroit,1,2134
32_Detroit,2,2027
32_Detroit,3,2118
32_Detroit,4,2123
32_Detroit,5,2264
32_Detroit,6,2673
32_Detroit,7,2642
32_Detroit,8,2004
32_Detroit,9,1988
32_Detroit,10,1947
32_Detroit,11,2008
32_Detroit,12,2451
32_Detroit,13,2413
32_Detroit,14,2014
32_Detroit,15,1944
32_Detroit,16,2132
32_Detroit,17,2138
32_Detroit,18,2132
32_Detroit,19,2101
32_Detroit,20,2043
32_Detroit,21,1974
32_Detroit,22,2063
32_Detroit,23,2022
32_Detroit,24,2018
32_Detroit,25,2121
32_Detroit,26,2107
32_Detroit,27,2213
32_Detroit,28,2065
32_Detroit,29,2416
32_Detroit,30,2167
32_Detroit,31,2075
32_Detroit,32,197
33_Baltimore,1,1390
33_Baltimore,2,1584
33_Baltimore,3,1596
33_Baltimore,4,1615
33_Baltimore,5,1868
33_Baltimore,6,1811
33_Baltimore,7,1793
33_Baltimore,8,1467
33_Baltimore,9,1434
33_Baltimore,10,1392
33_Baltimore,11,1821
33_Baltimore,12,2013
33_Baltimore,13,2277
33_Baltimore,14,2055
33_Baltimore,15,1712
33_Baltimore,16,1541
33_Baltimore,17,1697
33_Baltimore,18,1458
33_Baltimore,19,1500
33_Baltimore,20,1536
33_Baltimore,21,1506
33_Baltimore,22,1392
33_Baltimore,23,1399
33_Baltimore,24,1421
33_Baltimore,25,1410
33_Baltimore,26,1386
33_Baltimore,27,1615
33_Baltimore,28,1546
33_Baltimore,29,1578
33_Baltimore,30,1565
33_Baltimore,31,1554
33_Baltimore,32,139
