name,day,count
01_Wipha,1,8652
01_Wipha,2,9203
01_Wipha,3,9479
01_Wipha,4,9272
01_Wipha,5,9481
01_Wipha,6,10131
01_Wipha,7,10551
01_Wipha,8,8778
01_Wipha,9,9147
01_Wipha,10,9286
01_Wipha,11,9295
01_Wipha,12,9668
01_Wipha,13,10958
01_Wipha,14,10597
01_Wipha,15,10071
01_Wipha,16,8728
01_Wipha,17,9956
01_Wipha,18,9245
01_Wipha,19,9634
01_Wipha,20,10721
01_Wipha,21,9533
01_Wipha,22,8821
01_Wipha,23,9023
01_Wipha,24,9161
01_Wipha,25,8736
01_Wipha,26,9290
01_Wipha,27,10860
01_Wipha,28,11495
01_Wipha,29,8872
01_Wipha,30,8801
01_Wipha,31,9616
01_Wipha,32,9772
01_Wipha,33,1192
01_Wipha,34,8474
01_Wipha,35,9157
01_Wipha,36,1027
02_Halong,1,834
02_Halong,2,859
02_Halong,3,807
02_Halong,4,859
02_Halong,5,888
02_Halong,6,940
02_Halong,7,859
02_Halong,8,835
02_Halong,9,845
02_Halong,10,859
02_Halong,11,919
02_Halong,12,892
02_Halong,13,904
02_Halong,14,882
02_Halong,15,760
02_Halong,16,918
02_Halong,17,892
02_Halong,18,940
02_Halong,19,968
02_Halong,20,1002
02_Halong,21,930
02_Halong,22,916
02_Halong,23,930
02_Halong,24,951
02_Halong,25,955
02_Halong,26,1003
02_Halong,27,999
02_Halong,28,975
02_Halong,29,974
02_Halong,30,988
02_Halong,31,932
02_Halong,32,990
02_Halong,33,989
02_Halong,34,1019
02_Halong,35,216
06_Kalmaegi,1,148
06_Kalmaegi,2,167
06_Kalmaegi,3,175
06_Kalmaegi,4,181
06_Kalmaegi,5,147
06_Kalmaegi,6,165
06_Kalmaegi,7,147
06_Kalmaegi,8,150
06_Kalmaegi,9,183
06_Kalmaegi,10,179
06_Kalmaegi,11,141
06_Kalmaegi,12,135
06_Kalmaegi,13,124
06_Kalmaegi,14,128
06_Kalmaegi,15,152
06_Kalmaegi,16,164
06_Kalmaegi,17,173
06_Kalmaegi,18,173
06_Kalmaegi,19,149
06_Kalmaegi,20,148
06_Kalmaegi,21,139
06_Kalmaegi,22,161
06_Kalmaegi,23,160
06_Kalmaegi,24,168
06_Kalmaegi,25,144
06_Kalmaegi,26,130
06_Kalmaegi,27,150
06_Kalmaegi,28,125
06_Kalmaegi,29,149
06_Kalmaegi,30,181
06_Kalmaegi,31,191
06_Kalmaegi,32,138
06_Kalmaegi,33,144
06_Kalmaegi,34,145
06_Kalmaegi,35,5
08_Rammasun_Manila,1,3367
08_Rammasun_Manila,2,3589
08_Rammasun_Manila,3,505
08_Rammasun_Manila,4,4034
08_Rammasun_Manila,5,4285
08_Rammasun_Manila,6,4382
08_Rammasun_Manila,7,4197
08_Rammasun_Manila,8,3880
08_Rammasun_Manila,9,4292
08_Rammasun_Manila,10,4299
08_Rammasun_Manila,11,4291
08_Rammasun_Manila,12,4441
08_Rammasun_Manila,13,4385
08_Rammasun_Manila,14,4385
08_Rammasun_Manila,15,4035
08_Rammasun_Manila,16,4786
08_Rammasun_Manila,17,4969
08_Rammasun_Manila,18,3557
08_Rammasun_Manila,19,4172
08_Rammasun_Manila,20,4444
08_Rammasun_Manila,21,4522
08_Rammasun_Manila,22,4051
08_Rammasun_Manila,23,4412
08_Rammasun_Manila,24,4564
08_Rammasun_Manila,25,4465
08_Rammasun_Manila,26,4582
08_Rammasun_Manila,27,4615
08_Rammasun_Manila,28,4597
08_Rammasun_Manila,29,3985
08_Rammasun_Manila,30,4443
08_Rammasun_Manila,31,4097
08_Rammasun_Manila,32,4416
08_Rammasun_Manila,33,4530
08_Rammasun_Manila,34,4635
08_Rammasun_Manila,35,4617
08_Rammasun_Manila,36,680
